Latitude,Longitude,Date,"Local 
Time",Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,SWE (mm) A,SWE (mm) B,SWE (mm) C,DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,Melt,Comments,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
43.94678,-115.6684,2021-03-24,15:20,11,IDBRM2,ID,Boise River Basin,MC_2,13.0,13.0, ,28.0,27.0, ,216.0,208.0, ,No,"Air Temp: -1.6 C, ice on board; ice layer @ +7cm above board, no liquid water, photo provided",13.0,28.0,216.0
43.94743,-115.67196,2021-01-27,15:25,3,IDBRM3,ID,Boise River Basin,MC_3,29.0, , ,29.0, , ,100.0, , ,No, ,29.0,29.0,100.0
43.94743,-115.67196,2021-02-03,14:20,4,IDBRM3,ID,Boise River Basin,MC_3,41.0, , ,43.0, , ,105.0, , ,No, ,41.0,43.0,105.0
43.94743,-115.67196,2021-02-10,14:35,5,IDBRM3,ID,Boise River Basin,MC_3,8.0,12.0,14.0,14.0,23.0,25.0,175.0,192.0,179.0,No, ,11.3,21.0,186.0
43.94743,-115.67196,2021-02-17,15:40,6,IDBRM3,ID,Boise River Basin,MC_3,71.0, , ,86.0, , ,122.0, , ,No,Air Temp: -6.4 C,71.0,86.0,122.0
43.94743,-115.67196,2021-02-24,16:25,7,IDBRM3,ID,Boise River Basin,MC_3,36.0,39.0, ,52.0,61.0, ,2.0,2.0, ,No,Air Temp: -5.0 C,37.5,56.0,150.0
43.94743,-115.67196,2021-03-03,16:20,8,IDBRM3,ID,Boise River Basin,MC_3,22.0,20.0, ,39.0,35.0, ,2.0,2.0, ,Yes,"Air Temp: +4.5 C, ice/slush on board for both samples (liquid water present), not captured in measurement",21.0,37.0,177.0
43.94743,-115.67196,2021-03-10,14:20,9,IDBRM3,ID,Boise River Basin,MC_3, , , , , , , , , ,Yes,"Air Temp: +0.4 C, board melted/tipped sidehill up to 15 cm on lee side - photo evidence", , , 
43.94743,-115.67196,2021-03-16,15:35,10,IDBRM3,ID,Boise River Basin,MC_3,0.0, , ,0.0, , ,0.0, , ,Yes,"Air Temp: +4.2 C, no new snow",0.0,0.0, 
43.94743,-115.67196,2021-03-24,15:00,11,IDBRM3,ID,Boise River Basin,MC_3,26.0,26.0, ,60.0,56.0, ,231.0,216.0, ,No,"Air Temp: -1.9 C, ice on board; ice layer @ +7cm above board, no liquid water, photo provided",26.0,58.0,224.0
43.94786,-115.6748,2021-01-15,15:20,1,IDBRM4,ID,Boise River Basin,MC_4, , , , , , , , , ,No, , , , 
43.94786,-115.6748,2021-01-27,15:10,3,IDBRM4,ID,Boise River Basin,MC_4,27.0, , ,27.0, , ,100.0, , ,No, ,27.0,27.0,100.0
43.94786,-115.6748,2021-02-03,14:00,4,IDBRM4,ID,Boise River Basin,MC_4,43.0, , ,45.0, , ,105.0, , ,No, ,43.0,45.0,105.0
43.94786,-115.6748,2021-02-10,14:15,5,IDBRM4,ID,Boise River Basin,MC_4,13.0,14.0,16.0,25.0,28.0,32.0,193.0,200.0,200.0,No, ,14.3,28.0,196.0
43.94786,-115.6748,2021-02-17,15:20,6,IDBRM4,ID,Boise River Basin,MC_4,70.0, , ,86.0, , ,123.0, , ,No,Air Temp: -7.1 C,70.0,86.0,123.0
43.94786,-115.6748,2021-02-24,14:35,7,IDBRM4,ID,Boise River Basin,MC_4,36.0,36.0,38.0,58.0, , ,2.0, , ,No, ,36.7,58.0,159.0
43.94786,-115.6748,2021-03-03,15:50,8,IDBRM4,ID,Boise River Basin,MC_4,29.0,29.0,34.0,36.0,36.0,49.0,2.0,2.0,2.0,No,"Air Temp: +3.8 C, wind affected surface",30.7,40.0,131.0
43.94786,-115.6748,2021-03-10,14:10,9,IDBRM4,ID,Boise River Basin,MC_4,7.0,11.0, ,11.0,15.0, ,2.0,2.0, ,No,"Air Temp: -1.6 C, large ice crystals on board",9.0,13.0,145.0
43.94786,-115.6748,2021-03-16,15:00,10,IDBRM4,ID,Boise River Basin,MC_4,0.0, , ,0.0, , ,0.0, , ,Yes,"Air Temp: +5.8 C, no new snow",0.0,0.0, 
43.94786,-115.6748,2021-03-24,14:40,11,IDBRM4,ID,Boise River Basin,MC_4,10.0,9.0, ,23.0,18.0, ,230.0,200.0, ,No,"Air Temp: -1.3 C, ice on board; ice layer @+7cm above board, no liquid water, photo provided",9.5,20.0,211.0
